School.List,State,Year,ST.Total.Men,ST.Total.Women,ST.Total.AGI,ST.Total,percent_men,percent_women,percent_agi,men_change,women_change,agi_change
BRIGHAM YOUNG UNIVERSITY,UTAH,2018,46,47,0,93,49.46236559,50.53763441,0,-10.53763441,10.53763441,0
BRIGHAM YOUNG UNIVERSITY,UTAH,2019,68,50,0,118,57.62711864,42.37288136,0,8.164753053,-8.164753053,0
BRIGHAM YOUNG UNIVERSITY,UTAH,2020,66,46,0,112,58.92857143,41.07142857,0,1.301452785,-1.301452785,0
BRIGHAM YOUNG UNIVERSITY,UTAH,2021,63,65,0,128,49.21875,50.78125,0,-9.709821429,9.709821429,0
BRIGHAM YOUNG UNIVERSITY,UTAH,2022,61,53,0,114,53.50877193,46.49122807,0,4.29002193,-4.29002193,0
BRIGHAM YOUNG UNIVERSITY,UTAH,2023,55,41,0,96,57.29166667,42.70833333,0,3.782894737,-3.782894737,0
BROOKLYN LAW SCHOOL,NEW YORK,2017,179,191,0,370,48.37837838,51.62162162,0,NA,NA,NA
BROOKLYN LAW SCHOOL,NEW YORK,2018,131,183,0,314,41.71974522,58.28025478,0,-6.658633155,6.658633155,0
BROOKLYN LAW SCHOOL,NEW YORK,2019,150,221,1,372,40.32258065,59.40860215,0.268817204,-1.397164578,1.128347373,0.268817204
BROOKLYN LAW SCHOOL,NEW YORK,2020,150,225,1,376,39.89361702,59.84042553,0.265957447,-0.428963624,0.431823381,-0.002859757
BROOKLYN LAW SCHOOL,NEW YORK,2021,155,237,8,400,38.75,59.25,2,-1.143617021,-0.590425532,1.734042553
BROOKLYN LAW SCHOOL,NEW YORK,2022,146,208,3,358,40.78212291,58.10055866,0.837988827,2.032122905,-1.149441341,-1.162011173
BROOKLYN LAW SCHOOL,NEW YORK,2023,118,230,6,355,33.23943662,64.78873239,1.690140845,-7.542686285,6.688173735,0.852152018
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2017,91,135,0,226,40.26548673,59.73451327,0,NA,NA,NA
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2018,89,129,0,218,40.82568807,59.17431193,0,0.560201348,-0.560201348,0
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2019,94,138,0,232,40.51724138,59.48275862,0,-0.308446694,0.308446694,0
CALIFORNIA WESTERN SCHOOL OF LAW,CALIFORNIA,2020,84,133,0,217,38.70967742,61.29032258,0,-1.80756396,1.80756396,0
