School.List,State,Year,ST.Total.Men,ST.Total.Women,ST.Total.AGI,ST.Total,percent_men,percent_women,percent_agi,men_change,women_change,agi_change
FORDHAM UNIVERSITY,NEW YORK,2017,189,226,0,415,45.54216867,54.45783133,0,NA,NA,NA
FORDHAM UNIVERSITY,NEW YORK,2018,192,187,0,379,50.65963061,49.34036939,0,5.117461932,-5.117461932,0
FORDHAM UNIVERSITY,NEW YORK,2019,178,205,0,383,46.47519582,53.52480418,0,-4.184434784,4.184434784,0
FORDHAM UNIVERSITY,NEW YORK,2020,169,209,0,378,44.70899471,55.29100529,0,-1.766201113,1.766201113,0
FORDHAM UNIVERSITY,NEW YORK,2021,188,231,0,419,44.86873508,55.13126492,0,0.159740375,-0.159740375,0
FORDHAM UNIVERSITY,NEW YORK,2022,177,223,0,400,44.25,55.75,0,-0.618735084,0.618735084,0
FORDHAM UNIVERSITY,NEW YORK,2023,167,242,0,409,40.83129584,59.16870416,0,-3.418704156,3.418704156,0
GEORGE MASON UNIVERSITY,VIRGINIA,2017,82,85,0,167,49.10179641,50.89820359,0,NA,NA,NA
GEORGE MASON UNIVERSITY,VIRGINIA,2018,85,73,0,158,53.79746835,46.20253165,0,4.695671947,-4.695671947,0
GEORGE MASON UNIVERSITY,VIRGINIA,2019,71,60,0,131,54.19847328,45.80152672,0,0.401004928,-0.401004928,0
GEORGE MASON UNIVERSITY,VIRGINIA,2020,71,67,0,138,51.44927536,48.55072464,0,-2.74919792,2.74919792,0
GEORGE MASON UNIVERSITY,VIRGINIA,2021,128,122,0,250,51.2,48.8,0,-0.249275362,0.249275362,0
GEORGE MASON UNIVERSITY,VIRGINIA,2022,71,81,0,152,46.71052632,53.28947368,0,-4.489473684,4.489473684,0
GEORGE MASON UNIVERSITY,VIRGINIA,2023,54,28,0,82,65.85365854,34.14634146,0,19.14313222,-19.14313222,0
GEORGE WASHINGTON UNIVERSITY,DISTRICT OF COLUMBIA,2017,183,197,1,381,48.03149606,51.70603675,0.262467192,NA,NA,NA
GEORGE WASHINGTON UNIVERSITY,DISTRICT OF COLUMBIA,2018,254,258,0,512,49.609375,50.390625,0,1.577878937,-1.315411745,-0.262467192
GEORGE WASHINGTON UNIVERSITY,DISTRICT OF COLUMBIA,2019,185,237,2,424,43.63207547,55.89622642,0.471698113,-5.977299528,5.505601415,0.471698113
GEORGE WASHINGTON UNIVERSITY,DISTRICT OF COLUMBIA,2020,200,271,1,472,42.37288136,57.41525424,0.211864407,-1.259194116,1.519027822,-0.259833706
GEORGE WASHINGTON UNIVERSITY,DISTRICT OF COLUMBIA,2021,183,242,0,425,43.05882353,56.94117647,0,0.685942173,-0.474077767,-0.211864407
GEORGE WASHINGTON UNIVERSITY,DISTRICT OF COLUMBIA,2022,186,241,0,427,43.55971897,56.44028103,0,0.50089544,-0.50089544,0
GEORGE WASHINGTON UNIVERSITY,DISTRICT OF COLUMBIA,2023,219,233,0,454,48.23788546,51.3215859,0,4.678166493,-5.118695127,0
GEORGETOWN UNIVERSITY,DISTRICT OF COLUMBIA,2017,195,247,0,442,44.11764706,55.88235294,0,NA,NA,NA
GEORGETOWN UNIVERSITY,DISTRICT OF COLUMBIA,2018,191,258,0,449,42.5389755,57.4610245,0,-1.578671558,1.578671558,0
GEORGETOWN UNIVERSITY,DISTRICT OF COLUMBIA,2019,241,272,2,515,46.7961165,52.81553398,0.388349515,4.257141004,-4.645490518,0.388349515
GEORGETOWN UNIVERSITY,DISTRICT OF COLUMBIA,2020,232,317,2,551,42.10526316,57.53176044,0.362976407,-4.690853347,4.716226455,-0.025373108
GEORGETOWN UNIVERSITY,DISTRICT OF COLUMBIA,2021,223,266,3,492,45.32520325,54.06504065,0.609756098,3.219940094,-3.466719785,0.246779691
GEORGETOWN UNIVERSITY,DISTRICT OF COLUMBIA,2022,229,309,0,539,42.48608534,57.3283859,0,-2.839117909,3.263345249,-0.609756098
GEORGETOWN UNIVERSITY,DISTRICT OF COLUMBIA,2023,215,327,0,542,39.66789668,60.33210332,0,-2.818188664,3.003717421,0
GEORGIA STATE UNIVERSITY,GEORGIA,2017,151,156,0,307,49.18566775,50.81433225,0,NA,NA,NA
GEORGIA STATE UNIVERSITY,GEORGIA,2018,116,134,0,250,46.4,53.6,0,-2.785667752,2.785667752,0
GEORGIA STATE UNIVERSITY,GEORGIA,2019,122,154,0,276,44.20289855,55.79710145,0,-2.197101449,2.197101449,0
GEORGIA STATE UNIVERSITY,GEORGIA,2020,89,120,0,209,42.58373206,57.41626794,0,-1.619166493,1.619166493,0
GEORGIA STATE UNIVERSITY,GEORGIA,2021,100,137,0,237,42.19409283,57.80590717,0,-0.38963923,0.38963923,0
GEORGIA STATE UNIVERSITY,GEORGIA,2022,78,114,0,192,40.625,59.375,0,-1.569092827,1.569092827,0
GEORGIA STATE UNIVERSITY,GEORGIA,2023,82,130,0,212,38.67924528,61.32075472,0,-1.945754717,1.945754717,0
"GEORGIA, UNIVERSITY OF",GEORGIA,2017,93,90,0,183,50.81967213,49.18032787,0,NA,NA,NA
"GEORGIA, UNIVERSITY OF",GEORGIA,2018,100,94,0,194,51.54639175,48.45360825,0,0.726719621,-0.726719621,0
"GEORGIA, UNIVERSITY OF",GEORGIA,2019,100,86,0,186,53.76344086,46.23655914,0,2.217049108,-2.217049108,0
"GEORGIA, UNIVERSITY OF",GEORGIA,2020,85,86,0,171,49.70760234,50.29239766,0,-4.055838521,4.055838521,0
"GEORGIA, UNIVERSITY OF",GEORGIA,2021,92,100,1,193,47.66839378,51.8134715,0.518134715,-2.039208557,1.521073842,0.518134715
"GEORGIA, UNIVERSITY OF",GEORGIA,2022,71,90,2,163,43.55828221,55.21472393,1.226993865,-4.110111574,3.401252424,0.70885915
"GEORGIA, UNIVERSITY OF",GEORGIA,2023,73,85,2,160,45.625,53.125,1.25,2.066717791,-2.089723926,0.023006135
GOLDEN GATE UNIVERSITY,CALIFORNIA,2017,74,127,0,201,36.8159204,63.1840796,0,NA,NA,NA
GOLDEN GATE UNIVERSITY,CALIFORNIA,2018,97,130,0,227,42.73127753,57.26872247,0,5.915357135,-5.915357135,0
GOLDEN GATE UNIVERSITY,CALIFORNIA,2019,51,63,0,114,44.73684211,55.26315789,0,2.005564572,-2.005564572,0
GOLDEN GATE UNIVERSITY,CALIFORNIA,2020,59,77,0,136,43.38235294,56.61764706,0,-1.354489164,1.354489164,0
GOLDEN GATE UNIVERSITY,CALIFORNIA,2021,49,87,2,138,35.50724638,63.04347826,1.449275362,-7.875106564,6.425831202,1.449275362
GOLDEN GATE UNIVERSITY,CALIFORNIA,2022,14,26,0,40,35,65,0,-0.507246377,1.956521739,-1.449275362
GOLDEN GATE UNIVERSITY,CALIFORNIA,2023,5,17,0,22,22.72727273,77.27272727,0,-12.27272727,12.27272727,0
GONZAGA UNIVERSITY,WASHINGTON,2017,56,59,0,115,48.69565217,51.30434783,0,NA,NA,NA
GONZAGA UNIVERSITY,WASHINGTON,2018,67,67,0,134,50,50,0,1.304347826,-1.304347826,0
GONZAGA UNIVERSITY,WASHINGTON,2019,65,66,0,131,49.61832061,50.38167939,0,-0.381679389,0.381679389,0
GONZAGA UNIVERSITY,WASHINGTON,2020,74,73,4,151,49.00662252,48.34437086,2.649006623,-0.611698094,-2.037308528,2.649006623
GONZAGA UNIVERSITY,WASHINGTON,2021,79,109,2,190,41.57894737,57.36842105,1.052631579,-7.427675148,9.024050192,-1.596375044
GONZAGA UNIVERSITY,WASHINGTON,2022,89,107,2,198,44.94949495,54.04040404,1.01010101,3.370547581,-3.328017012,-0.042530569
GONZAGA UNIVERSITY,WASHINGTON,2023,94,93,2,191,49.21465969,48.69109948,1.047120419,4.265164736,-5.349304564,0.037019409
HARVARD UNIVERSITY,MASSACHUSETTS,2017,238,219,0,457,52.07877462,47.92122538,0,NA,NA,NA
HARVARD UNIVERSITY,MASSACHUSETTS,2018,231,218,2,451,51.2195122,48.33702882,0.44345898,-0.859262422,0.415803442,0.44345898
HARVARD UNIVERSITY,MASSACHUSETTS,2019,237,234,1,472,50.21186441,49.57627119,0.211864407,-1.007647788,1.239242362,-0.231594573
HARVARD UNIVERSITY,MASSACHUSETTS,2020,230,225,5,460,50,48.91304348,1.086956522,-0.211864407,-0.663227708,0.875092115
HARVARD UNIVERSITY,MASSACHUSETTS,2021,230,265,1,496,46.37096774,53.42741935,0.201612903,-3.629032258,4.514375877,-0.885343619
HARVARD UNIVERSITY,MASSACHUSETTS,2022,236,279,1,516,45.73643411,54.06976744,0.19379845,-0.634533633,0.642348087,-0.007814454
HARVARD UNIVERSITY,MASSACHUSETTS,2023,253,263,0,518,48.84169884,50.77220077,0,3.105264733,-3.29756667,-0.19379845
"HAWAII, UNIVERSITY OF",HAWAII,2017,60,50,0,110,54.54545455,45.45454545,0,NA,NA,NA
"HAWAII, UNIVERSITY OF",HAWAII,2018,66,53,0,119,55.46218487,44.53781513,0,0.916730328,-0.916730328,0
"HAWAII, UNIVERSITY OF",HAWAII,2019,35,62,0,97,36.08247423,63.91752577,0,-19.37971065,19.37971065,0
"HAWAII, UNIVERSITY OF",HAWAII,2020,49,52,0,101,48.51485149,51.48514851,0,12.43237726,-12.43237726,0
"HAWAII, UNIVERSITY OF",HAWAII,2021,28,69,1,98,28.57142857,70.40816327,1.020408163,-19.94342291,18.92301475,1.020408163
"HAWAII, UNIVERSITY OF",HAWAII,2022,30,55,1,86,34.88372093,63.95348837,1.162790698,6.312292359,-6.454674893,0.142382534
"HAWAII, UNIVERSITY OF",HAWAII,2023,32,59,0,91,35.16483516,64.83516484,0,0.281114235,0.881676463,-1.162790698
HOFSTRA UNIVERSITY,NEW YORK,2017,97,100,0,197,49.23857868,50.76142132,0,NA,NA,NA
HOFSTRA UNIVERSITY,NEW YORK,2018,132,120,0,252,52.38095238,47.61904762,0,3.142373701,-3.142373701,0
HOFSTRA UNIVERSITY,NEW YORK,2019,115,140,0,255,45.09803922,54.90196078,0,-7.282913165,7.282913165,0
HOFSTRA UNIVERSITY,NEW YORK,2020,118,127,0,245,48.16326531,51.83673469,0,3.06522609,-3.06522609,0
HOFSTRA UNIVERSITY,NEW YORK,2021,112,134,0,246,45.52845528,54.47154472,0,-2.634810022,2.634810022,0
HOFSTRA UNIVERSITY,NEW YORK,2022,134,121,0,255,52.54901961,47.45098039,0,7.020564323,-7.020564323,0
HOFSTRA UNIVERSITY,NEW YORK,2023,120,138,0,258,46.51162791,53.48837209,0,-6.037391701,6.037391701,0
"HOUSTON, UNIVERSITY OF",TEXAS,2017,120,98,0,218,55.04587156,44.95412844,0,NA,NA,NA
"HOUSTON, UNIVERSITY OF",TEXAS,2018,94,103,0,197,47.71573604,52.28426396,0,-7.330135519,7.330135519,0
"HOUSTON, UNIVERSITY OF",TEXAS,2019,97,109,0,206,47.08737864,52.91262136,0,-0.6283574,0.6283574,0
"HOUSTON, UNIVERSITY OF",TEXAS,2020,108,121,0,229,47.16157205,52.83842795,0,0.074193412,-0.074193412,0
"HOUSTON, UNIVERSITY OF",TEXAS,2021,106,133,0,239,44.35146444,55.64853556,0,-2.810107617,2.810107617,0
"HOUSTON, UNIVERSITY OF",TEXAS,2022,105,137,0,242,43.38842975,56.61157025,0,-0.963034683,0.963034683,0
"HOUSTON, UNIVERSITY OF",TEXAS,2023,120,145,0,265,45.28301887,54.71698113,0,1.894589116,-1.894589116,0
HOWARD UNIVERSITY,DISTRICT OF COLUMBIA,2017,42,97,0,139,30.21582734,69.78417266,0,NA,NA,NA
HOWARD UNIVERSITY,DISTRICT OF COLUMBIA,2018,64,89,0,153,41.83006536,58.16993464,0,11.61423802,-11.61423802,0
HOWARD UNIVERSITY,DISTRICT OF COLUMBIA,2019,50,106,0,156,32.05128205,67.94871795,0,-9.778783308,9.778783308,0
HOWARD UNIVERSITY,DISTRICT OF COLUMBIA,2020,45,104,0,149,30.20134228,69.79865772,0,-1.849939769,1.849939769,0
HOWARD UNIVERSITY,DISTRICT OF COLUMBIA,2021,42,120,1,163,25.76687117,73.6196319,0.613496933,-4.434471116,3.820974184,0.613496933
HOWARD UNIVERSITY,DISTRICT OF COLUMBIA,2022,67,92,0,159,42.13836478,57.86163522,0,16.37149361,-15.75799668,-0.613496933
HOWARD UNIVERSITY,DISTRICT OF COLUMBIA,2023,81,99,1,181,44.75138122,54.6961326,0.552486188,2.613016436,-3.165502623,0.552486188
"IDAHO, UNIVERSITY OF",IDAHO,2017,57,50,0,107,53.27102804,46.72897196,0,NA,NA,NA
"IDAHO, UNIVERSITY OF",IDAHO,2018,58,56,0,114,50.87719298,49.12280702,0,-2.393835055,2.393835055,0
"IDAHO, UNIVERSITY OF",IDAHO,2019,68,58,0,126,53.96825397,46.03174603,0,3.091060986,-3.091060986,0
"IDAHO, UNIVERSITY OF",IDAHO,2020,71,54,0,125,56.8,43.2,0,2.831746032,-2.831746032,0
"IDAHO, UNIVERSITY OF",IDAHO,2021,70,56,0,126,55.55555556,44.44444444,0,-1.244444444,1.244444444,0
"IDAHO, UNIVERSITY OF",IDAHO,2022,76,65,0,142,53.52112676,45.77464789,0,-2.034428795,1.330203443,0
"IDAHO, UNIVERSITY OF",IDAHO,2023,78,80,0,158,49.36708861,50.63291139,0,-4.154038153,4.858263505,0
"ILLINOIS, UNIVERSITY OF",ILLINOIS,2017,85,46,0,131,64.88549618,35.11450382,0,NA,NA,NA
"ILLINOIS, UNIVERSITY OF",ILLINOIS,2018,65,51,0,116,56.03448276,43.96551724,0,-8.851013425,8.851013425,0
"ILLINOIS, UNIVERSITY OF",ILLINOIS,2019,59,43,0,102,57.84313725,42.15686275,0,1.808654496,-1.808654496,0
"ILLINOIS, UNIVERSITY OF",ILLINOIS,2020,70,69,0,139,50.35971223,49.64028777,0,-7.483425025,7.483425025,0
"ILLINOIS, UNIVERSITY OF",ILLINOIS,2021,93,74,0,167,55.68862275,44.31137725,0,5.328910524,-5.328910524,0
"ILLINOIS, UNIVERSITY OF",ILLINOIS,2022,66,56,0,122,54.09836066,45.90163934,0,-1.590262099,1.590262099,0
"ILLINOIS, UNIVERSITY OF",ILLINOIS,2023,64,63,2,129,49.6124031,48.8372093,1.550387597,-4.485957555,2.935569958,1.550387597
INDIANA UNIVERSITY - BLOOMINGTON,INDIANA,2017,78,60,0,138,56.52173913,43.47826087,0,NA,NA,NA
INDIANA UNIVERSITY - BLOOMINGTON,INDIANA,2018,73,77,2,152,48.02631579,50.65789474,1.315789474,-8.495423341,7.179633867,1.315789474
INDIANA UNIVERSITY - BLOOMINGTON,INDIANA,2019,63,93,0,156,40.38461538,59.61538462,0,-7.641700405,8.957489879,-1.315789474
INDIANA UNIVERSITY - BLOOMINGTON,INDIANA,2020,91,81,0,172,52.90697674,47.09302326,0,12.52236136,-12.52236136,0
INDIANA UNIVERSITY - BLOOMINGTON,INDIANA,2021,89,89,1,179,49.72067039,49.72067039,0.558659218,-3.186306353,2.627647135,0.558659218
INDIANA UNIVERSITY - BLOOMINGTON,INDIANA,2022,57,74,0,133,42.85714286,55.63909774,0,-6.863527534,5.918427353,-0.558659218
INDIANA UNIVERSITY - BLOOMINGTON,INDIANA,2023,67,79,0,146,45.89041096,54.10958904,0,3.033268102,-1.529508703,0
INDIANA UNIVERSITY - INDIANAPOLIS,INDIANA,2017,140,155,0,295,47.45762712,52.54237288,0,NA,NA,NA
INDIANA UNIVERSITY - INDIANAPOLIS,INDIANA,2018,128,117,0,245,52.24489796,47.75510204,0,4.787270841,-4.787270841,0
INDIANA UNIVERSITY - INDIANAPOLIS,INDIANA,2019,138,122,0,260,53.07692308,46.92307692,0,0.832025118,-0.832025118,0
INDIANA UNIVERSITY - INDIANAPOLIS,INDIANA,2020,129,158,0,287,44.94773519,55.05226481,0,-8.129187885,8.129187885,0
INDIANA UNIVERSITY - INDIANAPOLIS,INDIANA,2021,117,157,0,274,42.70072993,57.29927007,0,-2.247005265,2.247005265,0
INDIANA UNIVERSITY - INDIANAPOLIS,INDIANA,2022,107,157,0,264,40.53030303,59.46969697,0,-2.170426897,2.170426897,0
INDIANA UNIVERSITY - INDIANAPOLIS,INDIANA,2023,128,160,0,288,44.44444444,55.55555556,0,3.914141414,-3.914141414,0
INTER AMERICAN UNIVERSITY OF PUERTO RICO,PUERTO RICO,2017,107,189,2,298,35.90604027,63.42281879,0.67114094,NA,NA,NA
INTER AMERICAN UNIVERSITY OF PUERTO RICO,PUERTO RICO,2018,71,114,4,189,37.56613757,60.31746032,2.116402116,1.660097298,-3.105358474,1.445261177
INTER AMERICAN UNIVERSITY OF PUERTO RICO,PUERTO RICO,2019,45,103,0,148,30.40540541,69.59459459,0,-7.160732161,9.277134277,-2.116402116
INTER AMERICAN UNIVERSITY OF PUERTO RICO,PUERTO RICO,2020,60,89,1,150,40,59.33333333,0.666666667,9.594594595,-10.26126126,0.666666667
INTER AMERICAN UNIVERSITY OF PUERTO RICO,PUERTO RICO,2021,56,90,1,147,38.0952381,61.2244898,0.680272109,-1.904761905,1.891156463,0.013605442
INTER AMERICAN UNIVERSITY OF PUERTO RICO,PUERTO RICO,2022,138,235,1,374,36.89839572,62.8342246,0.267379679,-1.196842373,1.609734803,-0.41289243
INTER AMERICAN UNIVERSITY OF PUERTO RICO,PUERTO RICO,2023,49,104,0,154,31.81818182,67.53246753,0,-5.080213904,4.698242934,-0.267379679
"IOWA, UNIVERSITY OF",IOWA,2017,57,56,0,113,50.44247788,49.55752212,0,NA,NA,NA
"IOWA, UNIVERSITY OF",IOWA,2018,76,55,0,131,58.01526718,41.98473282,0,7.572789299,-7.572789299,0
"IOWA, UNIVERSITY OF",IOWA,2019,73,62,0,135,54.07407407,45.92592593,0,-3.941193101,3.941193101,0
"IOWA, UNIVERSITY OF",IOWA,2020,67,84,0,151,44.37086093,55.62913907,0,-9.703213147,9.703213147,0
"IOWA, UNIVERSITY OF",IOWA,2021,82,69,2,153,53.59477124,45.09803922,1.307189542,9.223910315,-10.53109986,1.307189542
"IOWA, UNIVERSITY OF",IOWA,2022,57,40,0,132,43.18181818,30.3030303,0,-10.41295306,-14.79500891,-1.307189542
"IOWA, UNIVERSITY OF",IOWA,2023,77,61,0,141,54.60992908,43.26241135,0,11.4281109,12.95938104,0
"KANSAS, UNIVERSITY OF",KANSAS,2017,50,51,0,101,49.5049505,50.4950495,0,NA,NA,NA
"KANSAS, UNIVERSITY OF",KANSAS,2018,50,55,0,105,47.61904762,52.38095238,0,-1.885902876,1.885902876,0
"KANSAS, UNIVERSITY OF",KANSAS,2019,48,57,0,105,45.71428571,54.28571429,0,-1.904761905,1.904761905,0
"KANSAS, UNIVERSITY OF",KANSAS,2020,50,48,0,98,51.02040816,48.97959184,0,5.306122449,-5.306122449,0
"KANSAS, UNIVERSITY OF",KANSAS,2021,50,71,0,121,41.32231405,58.67768595,0,-9.698094114,9.698094114,0
"KANSAS, UNIVERSITY OF",KANSAS,2022,52,74,5,131,39.69465649,56.48854962,3.816793893,-1.627657561,-2.189136332,3.816793893
"KANSAS, UNIVERSITY OF",KANSAS,2023,59,54,1,114,51.75438596,47.36842105,0.877192982,12.05972948,-9.120128566,-2.939600911
"KENTUCKY, UNIVERSITY OF",KENTUCKY,2017,68,41,0,109,62.3853211,37.6146789,0,NA,NA,NA
"KENTUCKY, UNIVERSITY OF",KENTUCKY,2018,80,67,0,147,54.42176871,45.57823129,0,-7.963552393,7.963552393,0
"KENTUCKY, UNIVERSITY OF",KENTUCKY,2019,46,50,0,96,47.91666667,52.08333333,0,-6.505102041,6.505102041,0
"KENTUCKY, UNIVERSITY OF",KENTUCKY,2020,72,61,0,133,54.13533835,45.86466165,0,6.218671679,-6.218671679,0
"KENTUCKY, UNIVERSITY OF",KENTUCKY,2021,59,81,0,140,42.14285714,57.85714286,0,-11.9924812,11.9924812,0
"KENTUCKY, UNIVERSITY OF",KENTUCKY,2022,57,57,0,114,50,50,0,7.857142857,-7.857142857,0
"KENTUCKY, UNIVERSITY OF",KENTUCKY,2023,89,63,0,152,58.55263158,41.44736842,0,8.552631579,-8.552631579,0
LEWIS AND CLARK COLLEGE,OREGON,2017,57,103,0,160,35.625,64.375,0,NA,NA,NA
LEWIS AND CLARK COLLEGE,OREGON,2018,62,96,0,158,39.24050633,60.75949367,0,3.615506329,-3.615506329,0
LEWIS AND CLARK COLLEGE,OREGON,2019,73,99,0,172,42.44186047,57.55813953,0,3.201354136,-3.201354136,0
LEWIS AND CLARK COLLEGE,OREGON,2020,69,110,0,179,38.54748603,61.45251397,0,-3.894374432,3.894374432,0
LEWIS AND CLARK COLLEGE,OREGON,2021,73,117,0,190,38.42105263,61.57894737,0,-0.126433402,0.126433402,0
LEWIS AND CLARK COLLEGE,OREGON,2022,49,91,0,140,35,65,0,-3.421052632,3.421052632,0
LEWIS AND CLARK COLLEGE,OREGON,2023,65,86,0,151,43.04635762,56.95364238,0,8.046357616,-8.046357616,0
LIBERTY UNIVERSITY,VIRGINIA,2017,34,37,0,71,47.88732394,52.11267606,0,NA,NA,NA
LIBERTY UNIVERSITY,VIRGINIA,2018,43,30,0,73,58.90410959,41.09589041,0,11.01678565,-11.01678565,0
LIBERTY UNIVERSITY,VIRGINIA,2019,44,36,0,80,55,45,0,-3.904109589,3.904109589,0
LIBERTY UNIVERSITY,VIRGINIA,2020,60,45,0,105,57.14285714,42.85714286,0,2.142857143,-2.142857143,0
LIBERTY UNIVERSITY,VIRGINIA,2021,68,54,0,122,55.73770492,44.26229508,0,-1.405152225,1.405152225,0
LIBERTY UNIVERSITY,VIRGINIA,2022,62,57,0,119,52.10084034,47.89915966,0,-3.636864582,3.636864582,0
LIBERTY UNIVERSITY,VIRGINIA,2023,63,41,0,104,60.57692308,39.42307692,0,8.476082741,-8.476082741,0
LINCOLN MEMORIAL,DISTRICT OF COLUMBIA,2017,52,54,0,106,49.05660377,50.94339623,0,NA,NA,NA
LINCOLN MEMORIAL,DISTRICT OF COLUMBIA,2018,44,49,0,93,47.31182796,52.68817204,0,-1.744775817,1.744775817,0
LINCOLN MEMORIAL,DISTRICT OF COLUMBIA,2019,46,54,0,100,46,54,0,-1.311827957,1.311827957,0
LINCOLN MEMORIAL,DISTRICT OF COLUMBIA,2020,60,58,0,118,50.84745763,49.15254237,0,4.847457627,-4.847457627,0
LINCOLN MEMORIAL,DISTRICT OF COLUMBIA,2021,58,66,0,124,46.77419355,53.22580645,0,-4.073264079,4.073264079,0
LINCOLN MEMORIAL,DISTRICT OF COLUMBIA,2022,45,80,1,126,35.71428571,63.49206349,0.793650794,-11.05990783,10.26625704,0.793650794
LINCOLN MEMORIAL,DISTRICT OF COLUMBIA,2023,51,90,0,141,36.17021277,63.82978723,0,0.455927052,0.337723742,-0.793650794
LOUISIANA STATE UNIVERSITY,LOUISIANA,2017,81,96,0,177,45.76271186,54.23728814,0,NA,NA,NA
LOUISIANA STATE UNIVERSITY,LOUISIANA,2018,114,88,0,202,56.43564356,43.56435644,0,10.6729317,-10.6729317,0
LOUISIANA STATE UNIVERSITY,LOUISIANA,2019,98,108,0,206,47.57281553,52.42718447,0,-8.86282803,8.86282803,0
LOUISIANA STATE UNIVERSITY,LOUISIANA,2020,96,108,0,204,47.05882353,52.94117647,0,-0.513992005,0.513992005,0
LOUISIANA STATE UNIVERSITY,LOUISIANA,2021,111,117,0,228,48.68421053,51.31578947,0,1.625386997,-1.625386997,0
LOUISIANA STATE UNIVERSITY,LOUISIANA,2022,101,103,0,204,49.50980392,50.49019608,0,0.825593395,-0.825593395,0
LOUISIANA STATE UNIVERSITY,LOUISIANA,2023,97,107,0,204,47.54901961,52.45098039,0,-1.960784314,1.960784314,0
"LOUISVILLE, UNIVERSITY OF",KENTUCKY,2017,77,67,1,145,53.10344828,46.20689655,0.689655172,NA,NA,NA
"LOUISVILLE, UNIVERSITY OF",KENTUCKY,2018,59,71,0,130,45.38461538,54.61538462,0,-7.718832891,8.408488064,-0.689655172
"LOUISVILLE, UNIVERSITY OF",KENTUCKY,2019,42,51,1,94,44.68085106,54.25531915,1.063829787,-0.703764321,-0.360065466,1.063829787
"LOUISVILLE, UNIVERSITY OF",KENTUCKY,2020,48,64,0,112,42.85714286,57.14285714,0,-1.823708207,2.887537994,-1.063829787
"LOUISVILLE, UNIVERSITY OF",KENTUCKY,2021,73,60,0,133,54.88721805,45.11278195,0,12.03007519,-12.03007519,0
"LOUISVILLE, UNIVERSITY OF",KENTUCKY,2022,47,75,0,122,38.52459016,61.47540984,0,-16.36262788,16.36262788,0
"LOUISVILLE, UNIVERSITY OF",KENTUCKY,2023,52,65,0,117,44.44444444,55.55555556,0,5.919854281,-5.919854281,0
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,CALIFORNIA,2017,189,202,0,391,48.33759591,51.66240409,0,NA,NA,NA
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,CALIFORNIA,2018,132,171,0,303,43.56435644,56.43564356,0,-4.773239472,4.773239472,0
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,CALIFORNIA,2019,142,170,1,313,45.36741214,54.31309904,0.319488818,1.803055705,-2.122544523,0.319488818
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,CALIFORNIA,2020,123,184,2,309,39.80582524,59.54692557,0.647249191,-5.561586898,5.233826525,0.327760373
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,CALIFORNIA,2021,116,211,1,328,35.36585366,64.32926829,0.304878049,-4.439971584,4.782342726,-0.342371142
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,CALIFORNIA,2022,105,192,0,297,35.35353535,64.64646465,0,-0.012318305,0.317196354,-0.304878049
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,CALIFORNIA,2023,120,193,0,313,38.33865815,61.66134185,0,2.985122793,-2.985122793,0
LOYOLA UNIVERSITY-CHICAGO,ILLINOIS,2017,93,162,0,255,36.47058824,63.52941176,0,NA,NA,NA
LOYOLA UNIVERSITY-CHICAGO,ILLINOIS,2018,111,163,0,274,40.51094891,59.48905109,0,4.04036067,-4.04036067,0
LOYOLA UNIVERSITY-CHICAGO,ILLINOIS,2019,117,142,1,260,45,54.61538462,0.384615385,4.489051095,-4.87366648,0.384615385
LOYOLA UNIVERSITY-CHICAGO,ILLINOIS,2020,96,153,0,249,38.55421687,61.44578313,0,-6.445783133,6.830398517,-0.384615385
LOYOLA UNIVERSITY-CHICAGO,ILLINOIS,2021,130,244,1,375,34.66666667,65.06666667,0.266666667,-3.887550201,3.620883534,0.266666667
LOYOLA UNIVERSITY-CHICAGO,ILLINOIS,2022,86,180,0,266,32.33082707,67.66917293,0,-2.335839599,2.602506266,-0.266666667
LOYOLA UNIVERSITY-CHICAGO,ILLINOIS,2023,98,176,0,274,35.76642336,64.23357664,0,3.43559629,-3.43559629,0
LOYOLA UNIVERSITY-NEW ORLEANS,LOUISIANA,2017,137,126,0,263,52.09125475,47.90874525,0,NA,NA,NA
LOYOLA UNIVERSITY-NEW ORLEANS,LOUISIANA,2018,69,85,0,154,44.80519481,55.19480519,0,-7.286059948,7.286059948,0
LOYOLA UNIVERSITY-NEW ORLEANS,LOUISIANA,2019,66,105,0,171,38.59649123,61.40350877,0,-6.208703577,6.208703577,0
LOYOLA UNIVERSITY-NEW ORLEANS,LOUISIANA,2020,89,109,2,200,44.5,54.5,1,5.903508772,-6.903508772,1
LOYOLA UNIVERSITY-NEW ORLEANS,LOUISIANA,2021,85,105,1,191,44.5026178,54.97382199,0.523560209,0.002617801,0.47382199,-0.476439791
LOYOLA UNIVERSITY-NEW ORLEANS,LOUISIANA,2022,90,114,0,204,44.11764706,55.88235294,0,-0.384970742,0.908530952,-0.523560209
LOYOLA UNIVERSITY-NEW ORLEANS,LOUISIANA,2023,79,123,3,205,38.53658537,60,1.463414634,-5.581061693,4.117647059,1.463414634
