School.List,State,Year,FT.BIPOC,FT.White,FT.Total,fac_percent_bipoc,fac_percent_white,fac_year_change
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2017,10,90,100,10,90,NA
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2018,9,83,92,9.782608696,90.2173913,-0.2174
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2019,12,78,90,13.33333333,86.66666667,3.5507
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2020,9,80,89,10.11235955,89.88764045,-3.221
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2021,11,77,88,12.5,87.5,2.3876
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2022,12,77,89,13.48314607,86.51685393,0.9831
WASHINGTON AND LEE UNIVERSITY,VIRGINIA,2023,15,80,95,15.78947368,84.21052632,2.3063
WASHINGTON UNIVERSITY,MISSOURI,2017,20,179,199,10.05025126,89.94974874,NA
WASHINGTON UNIVERSITY,MISSOURI,2018,18,152,170,10.58823529,89.41176471,0.538
WASHINGTON UNIVERSITY,MISSOURI,2019,22,147,169,13.01775148,86.98224852,2.4295
WASHINGTON UNIVERSITY,MISSOURI,2020,28,155,183,15.30054645,84.69945355,2.2828
WASHINGTON UNIVERSITY,MISSOURI,2021,22,140,162,13.58024691,86.41975309,-1.7203
WASHINGTON UNIVERSITY,MISSOURI,2022,26,143,169,15.38461538,84.61538462,1.8044
WASHINGTON UNIVERSITY,MISSOURI,2023,37,194,231,16.01731602,83.98268398,0.6327
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2017,23,166,189,12.16931217,87.83068783,NA
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2018,22,157,179,12.29050279,87.70949721,0.1212
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2019,25,142,167,14.97005988,85.02994012,2.6796
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2020,25,116,141,17.73049645,82.26950355,2.7604
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2021,30,117,147,20.40816327,79.59183673,2.6777
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2022,30,131,161,18.63354037,81.36645963,-1.7746
"WASHINGTON, UNIVERSITY OF",WASHINGTON,2023,28,120,148,18.91891892,81.08108108,0.2854
WAYNE STATE UNIVERSITY,MICHIGAN,2017,9,78,87,10.34482759,89.65517241,NA
WAYNE STATE UNIVERSITY,MICHIGAN,2018,10,63,73,13.69863014,86.30136986,3.3538
WAYNE STATE UNIVERSITY,MICHIGAN,2019,10,82,92,10.86956522,89.13043478,-2.8291
WAYNE STATE UNIVERSITY,MICHIGAN,2020,12,91,103,11.65048544,88.34951456,0.7809
WAYNE STATE UNIVERSITY,MICHIGAN,2021,20,79,99,20.2020202,79.7979798,8.5515
WAYNE STATE UNIVERSITY,MICHIGAN,2022,19,79,98,19.3877551,80.6122449,-0.8143
WAYNE STATE UNIVERSITY,MICHIGAN,2023,17,98,115,14.7826087,85.2173913,-4.6051
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2017,5,59,64,7.8125,92.1875,NA
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2018,4,54,58,6.896551724,93.10344828,-0.9159
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2019,4,58,62,6.451612903,93.5483871,-0.4449
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2020,4,60,64,6.25,93.75,-0.2016
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2021,5,57,62,8.064516129,91.93548387,1.8145
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2022,6,58,64,9.375,90.625,1.3105
WEST VIRGINIA UNIVERSITY,WEST VIRGINIA,2023,7,62,69,10.14492754,89.85507246,0.7699
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2017,7,58,65,10.76923077,89.23076923,NA
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2018,8,51,59,13.55932203,86.44067797,2.7901
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2019,4,54,58,6.896551724,93.10344828,-6.6628
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2020,6,58,64,9.375,90.625,2.4784
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2021,15,55,70,21.42857143,78.57142857,12.0536
WESTERN NEW ENGLAND UNIVERSITY,MASSACHUSETTS,2022,9,60,69,13.04347826,86.95652174,-8.3851
