School.List,State,Year,FT.Male,FT.Female,FT.AGI,FT.Total,fac_percent_men,fac_percent_women,fac_percent_agi,fac_men_change,fac_women_change,fac_agi_change
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,PUERTO RICO,2018,51,19,0,70,72.85714286,27.14285714,0,0,0,0
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,PUERTO RICO,2019,45,20,0,65,69.23076923,30.76923077,0,-3.626373626,3.626373626,0
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,PUERTO RICO,2020,39,19,0,58,67.24137931,32.75862069,0,-1.98938992,1.98938992,0
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,PUERTO RICO,2021,42,25,0,67,62.68656716,37.31343284,0,-4.554812146,4.554812146,0
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,PUERTO RICO,2022,51,27,0,78,65.38461538,34.61538462,0,2.69804822,-2.69804822,0
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,PUERTO RICO,2023,49,26,0,75,65.33333333,34.66666667,0,-0.051282051,0.051282051,0
"PUERTO RICO, UNIVERSITY OF",PUERTO RICO,2017,71,59,1,131,54.19847328,45.03816794,0.763358779,NA,NA,NA
"PUERTO RICO, UNIVERSITY OF",PUERTO RICO,2018,70,52,0,122,57.37704918,42.62295082,0,3.178575898,-2.415217119,-0.763358779
"PUERTO RICO, UNIVERSITY OF",PUERTO RICO,2019,68,52,0,120,56.66666667,43.33333333,0,-0.710382514,0.710382514,0
"PUERTO RICO, UNIVERSITY OF",PUERTO RICO,2020,67,42,0,109,61.46788991,38.53211009,0,4.801223242,-4.801223242,0
"PUERTO RICO, UNIVERSITY OF",PUERTO RICO,2021,62,50,0,112,55.35714286,44.64285714,0,-6.110747051,6.110747051,0
"PUERTO RICO, UNIVERSITY OF",PUERTO RICO,2022,75,51,0,126,59.52380952,40.47619048,0,4.166666667,-4.166666667,0
"PUERTO RICO, UNIVERSITY OF",PUERTO RICO,2023,65,45,0,110,59.09090909,40.90909091,0,-0.432900433,0.432900433,0
QUINNIPIAC UNIVERSITY,CONNECTICUT,2017,56,39,0,95,58.94736842,41.05263158,0,NA,NA,NA
QUINNIPIAC UNIVERSITY,CONNECTICUT,2018,61,37,0,98,62.24489796,37.75510204,0,3.297529538,-3.297529538,0
QUINNIPIAC UNIVERSITY,CONNECTICUT,2019,63,37,0,100,63,37,0,0.755102041,-0.755102041,0
QUINNIPIAC UNIVERSITY,CONNECTICUT,2020,66,39,0,105,62.85714286,37.14285714,0,-0.142857143,0.142857143,0
QUINNIPIAC UNIVERSITY,CONNECTICUT,2021,62,46,0,108,57.40740741,42.59259259,0,-5.44973545,5.44973545,0
QUINNIPIAC UNIVERSITY,CONNECTICUT,2022,73,56,0,129,56.58914729,43.41085271,0,-0.818260121,0.818260121,0
QUINNIPIAC UNIVERSITY,CONNECTICUT,2023,78,60,0,138,56.52173913,43.47826087,0,-0.067408156,0.067408156,0
REGENT UNIVERSITY,VIRGINIA,2017,38,15,0,53,71.69811321,28.30188679,0,NA,NA,NA
REGENT UNIVERSITY,VIRGINIA,2018,28,10,0,38,73.68421053,26.31578947,0,1.986097319,-1.986097319,0
REGENT UNIVERSITY,VIRGINIA,2019,30,11,0,41,73.17073171,26.82926829,0,-0.513478819,0.513478819,0
REGENT UNIVERSITY,VIRGINIA,2020,39,7,0,46,84.7826087,15.2173913,0,11.61187699,-11.61187699,0
REGENT UNIVERSITY,VIRGINIA,2021,43,9,0,52,82.69230769,17.30769231,0,-2.090301003,2.090301003,0
REGENT UNIVERSITY,VIRGINIA,2022,51,18,0,69,73.91304348,26.08695652,0,-8.779264214,8.779264214,0
REGENT UNIVERSITY,VIRGINIA,2023,44,14,0,58,75.86206897,24.13793103,0,1.949025487,-1.949025487,0
"RICHMOND, UNIVERSITY OF",VIRGINIA,2017,85,68,0,153,55.55555556,44.44444444,0,NA,NA,NA
"RICHMOND, UNIVERSITY OF",VIRGINIA,2018,78,61,0,139,56.11510791,43.88489209,0,0.559552358,-0.559552358,0
"RICHMOND, UNIVERSITY OF",VIRGINIA,2019,74,56,0,130,56.92307692,43.07692308,0,0.807969009,-0.807969009,0
"RICHMOND, UNIVERSITY OF",VIRGINIA,2020,70,51,0,121,57.85123967,42.14876033,0,0.928162746,-0.928162746,0
"RICHMOND, UNIVERSITY OF",VIRGINIA,2021,69,54,0,123,56.09756098,43.90243902,0,-1.753678694,1.753678694,0
"RICHMOND, UNIVERSITY OF",VIRGINIA,2022,65,60,0,125,52,48,0,-4.097560976,4.097560976,0
"RICHMOND, UNIVERSITY OF",VIRGINIA,2023,69,68,0,137,50.3649635,49.6350365,0,-1.635036496,1.635036496,0
ROGER WILLIAMS UNIVERSITY,RHODE ISLAND,2017,48,43,0,91,52.74725275,47.25274725,0,NA,NA,NA
ROGER WILLIAMS UNIVERSITY,RHODE ISLAND,2018,52,41,0,93,55.91397849,44.08602151,0,3.166725747,-3.166725747,0
ROGER WILLIAMS UNIVERSITY,RHODE ISLAND,2019,48,41,0,89,53.93258427,46.06741573,0,-1.981394225,1.981394225,0
ROGER WILLIAMS UNIVERSITY,RHODE ISLAND,2020,46,42,0,88,52.27272727,47.72727273,0,-1.659856997,1.659856997,0
ROGER WILLIAMS UNIVERSITY,RHODE ISLAND,2021,46,45,0,91,50.54945055,49.45054945,0,-1.723276723,1.723276723,0
ROGER WILLIAMS UNIVERSITY,RHODE ISLAND,2022,47,44,0,91,51.64835165,48.35164835,0,1.098901099,-1.098901099,0
ROGER WILLIAMS UNIVERSITY,RHODE ISLAND,2023,47,58,0,105,44.76190476,55.23809524,0,-6.886446886,6.886446886,0
RUTGERS UNIVERSITY,NEW JERSEY,2017,193,115,0,308,62.66233766,37.33766234,0,NA,NA,NA
RUTGERS UNIVERSITY,NEW JERSEY,2018,194,118,0,312,62.17948718,37.82051282,0,-0.482850483,0.482850483,0
RUTGERS UNIVERSITY,NEW JERSEY,2019,120,95,0,215,55.81395349,44.18604651,0,-6.365533691,6.365533691,0
RUTGERS UNIVERSITY,NEW JERSEY,2020,126,88,0,214,58.87850467,41.12149533,0,3.064551185,-3.064551185,0
RUTGERS UNIVERSITY,NEW JERSEY,2021,86,75,0,161,53.41614907,46.58385093,0,-5.462355605,5.462355605,0
RUTGERS UNIVERSITY,NEW JERSEY,2022,113,92,0,205,55.12195122,44.87804878,0,1.705802151,-1.705802151,0
RUTGERS UNIVERSITY,NEW JERSEY,2023,121,104,0,225,53.77777778,46.22222222,0,-1.344173442,1.344173442,0
SAINT LOUIS UNIVERSITY,MISSOURI,2017,106,81,0,187,56.68449198,43.31550802,0,NA,NA,NA
SAINT LOUIS UNIVERSITY,MISSOURI,2018,59,45,0,104,56.73076923,43.26923077,0,0.046277252,-0.046277252,0
SAINT LOUIS UNIVERSITY,MISSOURI,2019,52,45,0,97,53.60824742,46.39175258,0,-3.122521808,3.122521808,0
SAINT LOUIS UNIVERSITY,MISSOURI,2020,48,58,0,106,45.28301887,54.71698113,0,-8.325228555,8.325228555,0
SAINT LOUIS UNIVERSITY,MISSOURI,2021,56,49,0,105,53.33333333,46.66666667,0,8.050314465,-8.050314465,0
SAINT LOUIS UNIVERSITY,MISSOURI,2022,60,58,0,118,50.84745763,49.15254237,0,-2.485875706,2.485875706,0
SAINT LOUIS UNIVERSITY,MISSOURI,2023,62,69,0,131,47.32824427,52.67175573,0,-3.519213352,3.519213352,0
SAMFORD UNIVERSITY,ALABAMA,2017,45,25,0,70,64.28571429,35.71428571,0,NA,NA,NA
SAMFORD UNIVERSITY,ALABAMA,2018,39,19,0,58,67.24137931,32.75862069,0,2.955665025,-2.955665025,0
SAMFORD UNIVERSITY,ALABAMA,2019,33,15,0,48,68.75,31.25,0,1.50862069,-1.50862069,0
SAMFORD UNIVERSITY,ALABAMA,2020,34,18,0,52,65.38461538,34.61538462,0,-3.365384615,3.365384615,0
SAMFORD UNIVERSITY,ALABAMA,2021,39,24,0,63,61.9047619,38.0952381,0,-3.47985348,3.47985348,0
SAMFORD UNIVERSITY,ALABAMA,2022,46,32,0,80,57.5,40,0,-4.404761905,1.904761905,0
SAMFORD UNIVERSITY,ALABAMA,2023,49,33,0,82,59.75609756,40.24390244,0,2.256097561,0.243902439,0
"SAN DIEGO, UNIVERSITY OF",CALIFORNIA,2017,107,53,0,160,66.875,33.125,0,NA,NA,NA
"SAN DIEGO, UNIVERSITY OF",CALIFORNIA,2018,102,43,0,145,70.34482759,29.65517241,0,3.469827586,-3.469827586,0
