School.List,KLD.BIPOC,KLD.Gender,State
SEATTLE UNIVERSITY,0.01496765,0.043001846,WASHINGTON
SETON HALL UNIVERSITY,0.038040754,0.015007876,NEW JERSEY
"SOUTH CAROLINA, UNIVERSITY OF",0.082475014,0.031051184,SOUTH CAROLINA
"SOUTH DAKOTA, UNIVERSITY OF",0.08270502,0.033476786,SOUTH DAKOTA
SOUTH TEXAS COLLEGE OF LAW HOUSTON,0.007854139,0.063730011,TEXAS
"SOUTHERN CALIFORNIA, UNIVERSITY OF",0.003747639,0.090805868,CALIFORNIA
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,0.042696332,0.008304313,ILLINOIS
SOUTHERN METHODIST UNIVERSITY,0.027455448,0.105128526,TEXAS
SOUTHERN UNIVERSITY,0.004251698,0.02269359,LOUISIANA
SOUTHWESTERN LAW SCHOOL,0.000321931,0.028363837,CALIFORNIA
ST. JOHN'S UNIVERSITY,0.001934735,0.026393912,NEW YORK
ST. MARY'S UNIVERSITY,0.004366367,0.088119924,TEXAS
ST. THOMAS UNIVERSITY (FLORIDA),0.003351835,0.100355453,FLORIDA
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",0.004613557,0.089510837,MINNESOTA
STANFORD UNIVERSITY,0.009235542,0.023134596,CALIFORNIA
STETSON UNIVERSITY,0.015639873,0.01433308,FLORIDA
SUFFOLK UNIVERSITY,0.006448283,0.067594263,MASSACHUSETTS
SYRACUSE UNIVERSITY,0.010341553,0.050143815,NEW YORK
TEMPLE UNIVERSITY,0.003661553,0.01509113,PENNSYLVANIA
"TENNESSEE, UNIVERSITY OF",0.029962265,0.013681281,TENNESSEE
TEXAS A&M UNIVERSITY,0.009074622,0.030005047,TEXAS
"TEXAS AT AUSTIN, UNIVERSITY OF",0.007030884,0.08173648,TEXAS
TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW,0.001005264,0.006104168,TEXAS
TEXAS TECH UNIVERSITY,0.020043493,0.040787815,TEXAS
